user_id,birthdate,gender,married,has_children,home_airport,total_sessions,total_page_clicks,avg_session_duration_sec,avg_flight_discount,avg_hotel_discount,total_cancellations,total_flights_booked,total_checked_bags,total_hotels_booked,avg_hotel_rooms,avg_hotel_nights,age,is_female,cluster,segment_name,assigned_perk
23557,1958-12-08,F,1,0,LGA,8,82,76.625,0.0,0.175,0,0,0,2,1.5,10.0,65,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
94883,1972-03-16,F,1,0,MCI,8,73,67.75,0.0,0.1,0,2,1,2,1.5,0.5,51,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
101486,1972-12-07,F,1,1,TCM,8,131,122.25,0.075,0.0,0,1,0,2,1.5,4.0,51,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
101961,1980-09-14,F,1,0,BOS,8,126,117.75,0.15,0.1,0,5,2,5,1.0,3.8,43,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
106907,1978-11-17,F,1,1,TNT,8,240,758.915066125,0.0,0.0,1,1,10,1,3.0,11.0,45,1,3,Cluster 3: High Clicks & Stornierungen,No Cancellation Fee / Flexible Booking
118043,1972-05-04,F,0,1,LAX,8,164,153.125,0.2,0.1166666666666666,0,3,3,4,1.25,5.5,51,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
120851,1972-09-25,F,1,1,SNA,8,55,51.75,0.225,0.0,0,1,0,1,1.0,11.0,51,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
125845,1983-12-01,F,1,0,BIF,9,159,131.77777777777777,0.15,0.05,0,3,2,3,1.3333333333333333,1.6666666666666667,40,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
133058,2005-04-07,F,0,0,AUS,8,73,68.125,0.0,0.05,0,1,0,0,0.0,0.0,18,1,0,Cluster 0: Low Engagement / Browsers,Exclusive Discounts / High-Incentive Promo
149058,1973-01-22,F,0,1,BHM,8,142,131.75,0.05,0.0,0,5,2,5,1.2,5.0,50,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
152583,1986-07-26,F,0,0,COS,8,149,139.0,0.15,0.15,0,1,2,1,1.0,2.0,37,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
153982,1978-08-15,F,0,1,YKZ,8,150,138.5,0.0,0.15,0,3,1,3,1.0,1.3333333333333333,45,1,1,Cluster 1: High-Volume VIP Travelers,Free Checked Bag
160754,1977-12-06,F,1,1,LGA,8,86,80.875,0.0,0.0,0,1,1,1,1.0,2.0,46,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
164522,1975-11-07,F,1,0,MCI,8,89,83.375,0.05,0.05,0,1,1,1,1.0,13.0,48,1,2,Cluster 2: Long-Stay / Hotel Focus,Free Hotel Night / Late Check-Out
